,models,filepaths,labelpaths,acc,nll,brier,qunc,hyperparameters,train_set,test_set,model_family
18,efficientnet-b2,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b2.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.7889,0.9757804752138582,0.31757630451496593,0.48414748907089233,,imagenet,imagenet,Neural Network
19,efficientnet-b2-autoaug,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b2-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.79776,0.8787004271323973,0.29363155301736404,0.4167097508907318,,imagenet,imagenet,Neural Network
20,efficientnet-b3,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b3.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.80212,0.8678158653527498,0.2869370970139378,0.39749062061309814,,imagenet,imagenet,Neural Network
21,efficientnet-b3-autoaug,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b3-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.81054,0.8813854402132845,0.2888669705436309,0.45449164509773254,,imagenet,imagenet,Neural Network
22,efficientnet-b4,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b4.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.82228,0.9341057160940365,0.3034192256603363,0.5438277721405029,,imagenet,imagenet,Neural Network
23,efficientnet-b4-autoaug,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b4-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.8255,0.8577182187454123,0.28035020110651615,0.4877792298793793,,imagenet,imagenet,Neural Network
24,efficientnet-b5,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b5.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.83114,0.7848405313219688,0.2600608507848638,0.43620553612709045,,imagenet,imagenet,Neural Network
25,efficientnet-b5-autoaug,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b5-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.8363,0.7407706717079692,0.2484998290755839,0.4091714918613434,,imagenet,imagenet,Neural Network
26,efficientnet-b5-randaug,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b5-randaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.83532,0.7514579931403307,0.25037419577215525,0.40429362654685974,,imagenet,imagenet,Neural Network
27,efficientnet-b6-autoaug,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b6-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.84128,0.76429589681805,0.25326181033467576,0.4629608988761902,,imagenet,imagenet,Neural Network
28,efficientnet-b7-autoaug,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b7-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.84334,0.7650295145458728,0.24908835378210278,0.44979745149612427,,imagenet,imagenet,Neural Network
29,efficientnet-b7-randaug,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b7-randaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.84726,0.6957619819036126,0.2346249519957294,0.39121347665786743,,imagenet,imagenet,Neural Network
30,fbresnet152,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_fbresnet152.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.77386,0.9044239539334696,0.3182410416303318,0.24972986911831063,,imagenet,imagenet,Neural Network
31,googlenet_inceptionv1,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_googlenet_inceptionv1.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.69778,1.282827497988228,0.419394223298988,0.4813178592279595,,imagenet,imagenet,Neural Network
32,inceptionresnetv2,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_inceptionresnetv2.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.8027,0.8417578180643206,0.2856185525317864,0.2951693935444891,,imagenet,imagenet,Neural Network
33,inceptionv3,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_inceptionv3.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.7732,0.9873984416064985,0.32441726248682856,0.3371782146723221,,imagenet,imagenet,Neural Network
34,inceptionv4,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_inceptionv4.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.80082,0.8478659399570717,0.28716183675254026,0.2854306149113364,,imagenet,imagenet,Neural Network
35,mnasnet0_5,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_mnasnet0_5.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.67602,1.3732588360536102,0.4363811712880567,0.36802176045595597,,imagenet,imagenet,Neural Network
36,mnasnet1_0,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_mnasnet1_0.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.73456,1.0777827981335322,0.36605508010124677,0.29934297958139394,,imagenet,imagenet,Neural Network
37,mobilenet_v2,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_mobilenet_v2.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.71878,1.1477031209610618,0.386356232852933,0.3421562852797631,,imagenet,imagenet,Neural Network
38,nasnetalarge,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_nasnetalarge.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.82506,0.7968044223477163,0.2626918990198135,0.3110511898418104,,imagenet,imagenet,Neural Network
39,nasnetamobile,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_nasnetamobile.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.7408,1.1015911968106329,0.3589483480854742,0.3922728796253694,,imagenet,imagenet,Neural Network
40,pnasnet5large,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_pnasnet5large.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.82736,0.8181448149689851,0.2604620871007233,0.36310476521059104,,imagenet,imagenet,Neural Network
41,polynet,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_polynet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.80858,0.8505789070259769,0.28653232888107677,0.1516574918463143,,imagenet,imagenet,Neural Network
42,resnet101,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet101.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.77374,0.9119464814674617,0.3201037007163929,0.2434119948803296,,imagenet,imagenet,Neural Network
43,resnet152,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet152.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.78312,0.8765092732655507,0.3093004389977808,0.23015101289863638,,imagenet,imagenet,Neural Network
44,resnet18,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet18.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.69758,1.2473143555506574,0.4111512571058415,0.37175963710508314,,imagenet,imagenet,Neural Network
45,resnet34,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet34.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.73314,1.0813249874788873,0.36904429474053496,0.3142548520499244,,imagenet,imagenet,Neural Network
46,resnet50,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet50.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.7613,0.9618354911554307,0.33539433411877645,0.27654358744621277,,imagenet,imagenet,Neural Network
47,resnet50-vtab,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet50-vtab.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.75542,1.004218375126178,0.3422358828118621,0.27484893798828125,,imagenet,imagenet,Neural Network
48,resnet50-vtab-exemplar,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet50-vtab-exemplar.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.74104,1.0449484728952292,0.356489876229748,0.3386440873146057,,imagenet,imagenet,Neural Network
49,resnet50-vtab-rotation,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet50-vtab-rotation.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.76502,0.9497704756260292,0.3288156104711162,0.26469457149505615,,imagenet,imagenet,Neural Network
50,resnet50-vtab-semi-exemplar,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet50-vtab-semi-exemplar.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.61622,1.6723371090145884,0.5088738789708157,0.4600798785686493,,imagenet,imagenet,Neural Network
51,resnet50-vtab-semi-rotation,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet50-vtab-semi-rotation.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.60924,1.7063736074394802,0.5217677961352037,0.4230998158454895,,imagenet,imagenet,Neural Network
52,resnet50_aws_baseline,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnet50_aws_baseline.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.76138,0.969817620153137,0.3361530629609756,0.2637189981031026,,imagenet,imagenet,Neural Network
53,resnext101_32x4d,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnext101_32x4d.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.78188,0.9143698271491045,0.3142397085355818,0.2103162790336204,,imagenet,imagenet,Neural Network
54,resnext101_32x8d,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnext101_32x8d.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.79312,0.9266161746676597,0.3073376694101848,0.17539262811775522,,imagenet,imagenet,Neural Network
55,resnext101_64x4d,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnext101_64x4d.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.78956,0.8933086030824671,0.3050776492554563,0.20150193273954195,,imagenet,imagenet,Neural Network
56,resnext50_32x4d,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_resnext50_32x4d.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.77618,0.9400852656097329,0.32148096792415226,0.21885069657105508,,imagenet,imagenet,Neural Network
57,se_resnet101,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_se_resnet101.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.78396,0.9371104249092111,0.3130656130248379,0.40565163033739526,,imagenet,imagenet,Neural Network
58,se_resnet152,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_se_resnet152.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.78658,0.9167863784873955,0.3066737606871156,0.3935524680715976,,imagenet,imagenet,Neural Network
59,se_resnet50,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_se_resnet50.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.77636,0.9760089565740866,0.3231641104866384,0.42196612346200646,,imagenet,imagenet,Neural Network
60,se_resnext101_32x4d,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_se_resnext101_32x4d.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.80236,0.8606429683552821,0.28611586986511806,0.36984468389163355,,imagenet,imagenet,Neural Network
61,se_resnext50_32x4d,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_se_resnext50_32x4d.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.79076,0.895554299055955,0.3018055593816187,0.2558298843144311,,imagenet,imagenet,Neural Network
62,senet154,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_senet154.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.81304,0.836412918529435,0.27479059114727855,0.3624049921018961,,imagenet,imagenet,Neural Network
63,shufflenet_v2_x0_5,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_shufflenet_v2_x0_5.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.60552,1.7829835261324496,0.5210576817945947,0.4470577464445981,,imagenet,imagenet,Neural Network
64,shufflenet_v2_x1_0,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_shufflenet_v2_x1_0.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.69362,1.359829697344516,0.42438333003122,0.31426642205470434,,imagenet,imagenet,Neural Network
65,squeezenet1_0,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_squeezenet1_0.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.58092,1.8662964173693466,0.5476843829239854,0.5297813689182005,,imagenet,imagenet,Neural Network
66,squeezenet1_1,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_squeezenet1_1.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.58178,1.8305930032785105,0.5423840756925298,0.5244374486019381,,imagenet,imagenet,Neural Network
67,vgg11,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_vgg11.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.6902,1.2605392193597498,0.4163044875547543,0.39612153612263196,,imagenet,imagenet,Neural Network
68,vgg11_bn,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_vgg11_bn.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.7037,1.1966398594628558,0.4007670324862183,0.3667497693634132,,imagenet,imagenet,Neural Network
69,vgg13,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_vgg13.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.69928,1.221359499382348,0.40638583357113756,0.38322395139632864,,imagenet,imagenet,Neural Network
70,vgg13_bn,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_vgg13_bn.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.71586,1.1443421399219555,0.3873000468070988,0.35023238071321366,,imagenet,imagenet,Neural Network
71,vgg16,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_vgg16.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.71592,1.1454275080320089,0.3856462987182876,0.34574118717425195,,imagenet,imagenet,Neural Network
72,vgg16_bn,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_vgg16_bn.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.7336,1.066159739420817,0.3654532461921574,0.3134140291491184,,imagenet,imagenet,Neural Network
73,vgg19,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_vgg19.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.72376,1.115526242418289,0.3776077328207794,0.33634662918427244,,imagenet,imagenet,Neural Network
74,vgg19_bn,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_vgg19_bn.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.74218,1.0425918994107595,0.3574818797225779,0.29817259687466435,,imagenet,imagenet,Neural Network
75,wide_resnet101_2,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_wide_resnet101_2.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.78846,0.8658626912289368,0.3032513651144822,0.21845277025124127,,imagenet,imagenet,Neural Network
76,wide_resnet50_2,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_wide_resnet50_2.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.78468,0.8826576638000216,0.30810385996526396,0.22413044123525364,,imagenet,imagenet,Neural Network
77,xception,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_xception.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.7882,0.9193670492089543,0.30874312637451273,0.37713653338157244,,imagenet,imagenet,Neural Network
78,deepens_alexnet,/data/Projects/linear_ensembles/interp_ensembles/results/imagenet/logits/alexnet--imagenet--deepens1.hdf5,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.49058,2.2875089539886195,0.6358524580664238,0.6301762461662292,(seed=1),imagenet,imagenet,Neural Network
79,deepens_alexnet,/data/Projects/linear_ensembles/interp_ensembles/results/imagenet/logits/alexnet--imagenet--deepens2.hdf5,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.50154,2.2421187033490666,0.627635430521659,0.6251469254493713,(seed=2),imagenet,imagenet,Neural Network
80,deepens_alexnet,/data/Projects/linear_ensembles/interp_ensembles/results/imagenet/logits/alexnet--imagenet--deepens3.hdf5,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.4855,2.323600541488684,0.6424247928966172,0.6375043988227844,(seed=3),imagenet,imagenet,Neural Network
81,deepens_alexnet,/data/Projects/linear_ensembles/interp_ensembles/results/imagenet/logits/alexnet--imagenet--deepens4.hdf5,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.49034,2.299573525399388,0.6399750131794557,0.6411037445068359,(seed=4),imagenet,imagenet,Neural Network
82,deepens_alexnet,/data/Projects/linear_ensembles/interp_ensembles/results/imagenet/logits/alexnet--imagenet--deepens5.hdf5,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.50054,2.245255733210845,0.6276898915371923,0.6235837340354919,(seed=5),imagenet,imagenet,Neural Network
83,deepens_resnet101,/data/Projects/linear_ensembles/interp_ensembles/results/imagenet/logits/resnet101--imagenet--deepens1.hdf5,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.71812,1.1168227685534111,0.3841517942354409,0.3590283691883087,(seed=1),imagenet,imagenet,Neural Network
84,deepens_resnet101,/data/Projects/linear_ensembles/interp_ensembles/results/imagenet/logits/resnet101--imagenet--deepens2.hdf5,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.71984,1.1121397083259759,0.3821157013811872,0.35762515664100647,(seed=2),imagenet,imagenet,Neural Network
85,deepens_resnet101,/data/Projects/linear_ensembles/interp_ensembles/results/imagenet/logits/resnet101--imagenet--deepens3.hdf5,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.7163,1.1267108176229108,0.3874688961119001,0.35904210805892944,(seed=3),imagenet,imagenet,Neural Network
86,deepens_resnet101,/data/Projects/linear_ensembles/interp_ensembles/results/imagenet/logits/resnet101--imagenet--deepens4.hdf5,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.714,1.1469510217111083,0.39121717925070715,0.35763800144195557,(seed=4),imagenet,imagenet,Neural Network
87,deepens_resnet101,/data/Projects/linear_ensembles/interp_ensembles/results/imagenet/logits/resnet101--imagenet--deepens5.hdf5,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.77208,0.9044674000274676,0.3207711456728842,0.25809797644615173,(seed=5),imagenet,imagenet,Neural Network
88,deepens_resnet50,/data/Projects/linear_ensembles/interp_ensembles/results/imagenet/logits/resnet50--imagenet--deepens1.hdf5,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.76122,0.9491781421378894,0.3335294738682821,0.2750193178653717,(seed=1),imagenet,imagenet,Neural Network
89,deepens_resnet50,/data/Projects/linear_ensembles/interp_ensembles/results/imagenet/logits/resnet50--imagenet--deepens2.hdf5,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.76148,0.9428337830525937,0.33169795446747813,0.2762894332408905,(seed=2),imagenet,imagenet,Neural Network
90,deepens_resnet50,/data/Projects/linear_ensembles/interp_ensembles/results/imagenet/logits/resnet50--imagenet--deepens3.hdf5,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.7627,0.9434558005304814,0.3314244875854984,0.27661144733428955,(seed=3),imagenet,imagenet,Neural Network
91,deepens_resnet50,/data/Projects/linear_ensembles/interp_ensembles/results/imagenet/logits/resnet50--imagenet--deepens4.hdf5,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.76122,0.9499540689641837,0.3336673327330545,0.27504950761795044,(seed=4),imagenet,imagenet,Neural Network
92,deepens_resnet50,/data/Projects/linear_ensembles/interp_ensembles/results/imagenet/logits/resnet50--imagenet--deepens5.hdf5,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.76304,0.9473949556358108,0.3328936396284276,0.2759433686733246,(seed=5),imagenet,imagenet,Neural Network
